Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
87.36799621582031,88.6500015258789,86.1500015258789,88.41649627685547,69864000,0.0,0.0,
88.1395034790039,88.16850280761719,86.57499694824219,86.99199676513672,70736000,0.0,0.0,
87.4000015258789,87.45600128173828,85.69100189208984,86.27249908447266,78144000,0.0,0.0,
86.34950256347656,86.87300109863281,85.46099853515625,86.79550170898438,52894000,0.0,0.0,
87.30000305175781,87.77999877929688,86.42050170898438,86.78250122070312,61690000,0.0,0.0,87.05179901123047
86.38700103759766,86.44450378417969,85.25,85.6614990234375,66022000,0.0,0.0,86.50079956054688
85.6500015258789,86.25,84.25299835205078,86.22100067138672,69364000,0.0,0.0,86.34660034179687
86.3010025024414,87.02899932861328,85.96150207519531,86.98249816894531,49438000,0.0,0.0,86.48860015869141
86.58149719238281,87.3915023803711,86.18499755859375,86.63300323486328,43094000,0.0,0.0,86.45610046386719
86.12449645996094,86.3499984741211,85.25,85.27549743652344,50840000,0.0,0.0,86.15469970703126
85.98049926757812,86.49749755859375,85.71800231933594,86.09950256347656,40870000,0.0,0.0,86.24230041503907
86.26200103759766,86.91449737548828,85.6875,86.01300048828125,51504000,0.0,0.0,86.20070037841796
87.14600372314453,87.27249908447266,86.49299621582031,86.59600067138672,65100000,0.0,0.0,86.12340087890625
86.44550323486328,87.09449768066406,86.0999984741211,86.82150268554688,38204000,0.0,0.0,86.16110076904297
87.10700225830078,88.82250213623047,87.03099822998047,88.36900329589844,62234000,0.0,0.0,86.77980194091796
88.66649627685547,89.31199645996094,88.5260009765625,88.87149810791016,55268000,0.0,0.0,87.33420104980469
89.82450103759766,89.94249725341797,89.10099792480469,89.3740005493164,52948000,0.0,0.0,88.00640106201172
89.38999938964844,89.6989974975586,87.45999908447266,87.87550354003906,67250000,0.0,0.0,88.26230163574219
88.48300170898438,89.29399871826172,88.25,89.28299713134766,42608000,0.0,0.0,88.75460052490234
89.40750122070312,89.48899841308594,88.0999984741211,88.2864990234375,42234000,0.0,0.0,88.73809967041015
88.06500244140625,88.50250244140625,87.0999984741211,88.1084976196289,42764000,0.0,0.0,88.5854995727539
88.55449676513672,89.41699981689453,88.01349639892578,89.03900146484375,88922000,0.0,0.0,88.51849975585938
84.87750244140625,88.21050262451172,84.75,88.06649780273438,192528000,0.0,0.0,88.55669860839843
87.40299987792969,88.93499755859375,87.125,88.85399627685547,74178000,0.0,0.0,88.4708984375
88.7405014038086,88.8499984741211,87.79049682617188,88.135498046875,45538000,0.0,0.0,88.4406982421875
88.01200103759766,89.11900329589844,87.95600128173828,88.99949645996094,48988000,0.0,0.0,88.6188980102539
88.79949951171875,89.5999984741211,88.5739974975586,88.83300018310547,55624000,0.0,0.0,88.57769775390625
89.40049743652344,89.87249755859375,89.260498046875,89.5719985961914,55808000,0.0,0.0,88.87879791259766
90.05049896240234,90.75299835205078,90.05049896240234,90.23300170898438,55438000,0.0,0.0,89.15459899902343
90.45800018310547,90.51249694824219,89.69999694824219,90.08550262451172,37710000,0.0,0.0,89.54459991455079
90.05000305175781,90.125,89.42900085449219,89.78849792480469,40596000,0.0,0.0,89.70240020751953
90.18800354003906,90.29499816894531,89.17400360107422,89.41000366210938,53022000,0.0,0.0,89.81780090332032
89.39450073242188,89.49400329589844,88.7020034790039,89.29399871826172,42466000,0.0,0.0,89.76220092773437
88.9000015258789,89.0,88.35649871826172,88.5824966430664,38920000,0.0,0.0,89.43209991455078
88.73300170898438,89.31099700927734,88.59549713134766,88.9000015258789,40752000,0.0,0.0,89.19499969482422
88.66950225830078,88.75,87.36599731445312,87.65550231933594,59790000,0.0,0.0,88.76840057373047
87.57150268554688,88.32949829101562,87.47799682617188,87.7300033569336,45296000,0.0,0.0,88.43240051269531
88.00250244140625,88.08399963378906,86.64299774169922,86.97450256347656,78552000,0.0,0.0,87.96850128173828
86.91500091552734,87.68499755859375,86.135498046875,87.62650299072266,56790000,0.0,0.0,87.77730255126953
87.84950256347656,88.03399658203125,87.15149688720703,87.6395034790039,45416000,0.0,0.0,87.52520294189453
87.45700073242188,88.1259994506836,86.70600128173828,87.27649688720703,55800000,0.0,0.0,87.44940185546875
87.1500015258789,87.34349822998047,86.51799774169922,86.7354965209961,53258000,0.0,0.0,87.25050048828125
86.95099639892578,87.32150268554688,86.55000305175781,87.28600311279297,49582000,0.0,0.0,87.31280059814453
87.6624984741211,88.87100219726562,87.66200256347656,88.69200134277344,69724000,0.0,0.0,87.5259002685547
88.99600219726562,89.85150146484375,88.9175033569336,89.84700012207031,63624000,0.0,0.0,87.96739959716797
90.05000305175781,91.2249984741211,89.8655014038086,90.92549896240234,60512000,0.0,0.0,88.69720001220703
90.88899993896484,91.2344970703125,90.03949737548828,90.04000091552734,38468000,0.0,0.0,89.35810089111328
90.22000122070312,90.27749633789062,88.13400268554688,89.08000183105469,78512000,0.0,0.0,89.71690063476562
88.0,88.64350128173828,87.36150360107422,88.49800109863281,67618000,0.0,0.0,89.6781005859375
88.70050048828125,89.45449829101562,88.01100158691406,88.03450012207031,53402000,0.0,0.0,89.3156005859375
88.17500305175781,88.17500305175781,87.0,87.02400207519531,56476000,0.0,0.0,88.5353012084961
87.55999755859375,87.72000122070312,87.00650024414062,87.58000183105469,62348000,0.0,0.0,88.04330139160156
87.53299713134766,88.34449768066406,87.28050231933594,87.47550201416016,48856000,0.0,0.0,87.72240142822265
87.37000274658203,87.53350067138672,86.75,86.96050262451172,50286000,0.0,0.0,87.41490173339844
