Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
416.3699951171875,417.2799987792969,411.3399963378906,413.489990234375,13152800,0.0,0.0,
412.8599853515625,414.3599853515625,410.25,413.8399963378906,13492900,0.0,0.0,
414.8800048828125,415.0,407.30999755859375,410.6000061035156,14882700,0.0,0.0,
414.94000244140625,422.04998779296875,410.6000061035156,413.1199951171875,17045200,0.0,0.0,
415.6000061035156,417.489990234375,412.1300048828125,417.1400146484375,24308300,0.0,0.0,413.63800048828125
417.9100036621094,419.8800048828125,407.0299987792969,409.44000244140625,20313600,0.0,0.0,412.8280029296875
405.9100036621094,411.239990234375,404.3699951171875,408.8999938964844,15135800,0.0,0.0,411.8400024414062
407.6199951171875,413.1000061035156,406.1300048828125,408.3900146484375,14195500,0.0,0.0,411.39800415039065
409.05999755859375,410.6499938964844,400.79998779296875,401.70001220703125,19609500,0.0,0.0,409.1140075683594
407.239990234375,408.6499938964844,402.1499938964844,405.7200012207031,15295100,0.0,0.0,406.8300048828125
408.20001220703125,416.3299865722656,407.70001220703125,414.20001220703125,19594300,0.0,0.0,407.7820068359375
415.5,423.989990234375,409.5799865722656,423.0400085449219,19266900,0.0,0.0,410.610009765625
423.30999755859375,427.3699951171875,419.75,427.0,17418800,0.0,0.0,414.3320068359375
425.8299865722656,431.8299865722656,425.4599914550781,430.5899963378906,15874600,0.0,0.0,420.11000366210936
430.6000061035156,433.5299987792969,428.2200012207031,431.3399963378906,13834700,0.0,0.0,425.2340026855469
440.2300109863281,441.8500061035156,432.2699890136719,435.1499938964844,18874200,0.0,0.0,429.4239990234375
435.0,436.0299987792969,430.4100036621094,430.80999755859375,18898000,0.0,0.0,430.9779968261719
441.2300109863281,441.5,436.8999938964844,438.69000244140625,21706600,0.0,0.0,433.3159973144531
437.2200012207031,439.239990234375,434.2200012207031,435.2699890136719,55167100,0.0,0.0,434.2519958496094
434.2799987792969,436.4599914550781,430.3900146484375,433.510009765625,15115900,0.0,0.0,434.6859985351563
